name,link
Североамериканский Какомицли,https://101.ru/vardata/modules/musicdb/files/202002/09/84db7a829d374a7a1e4be05037c83ce5.mp3
Полосатый тенрек,https://101.ru/vardata/modules/musicdb/files/202002/09/50c0aadb861bf7589ffa349f8a64f463.mp3
Теледу,https://101.ru/vardata/modules/musicdb/files/202002/09/5f36434b01c665709623493045ebc5d8.mp3
Розовая колпица,https://101.ru/vardata/modules/musicdb/files/202002/09/06f5db52f940189aff9a28a59b9ddb07.mp3
Олень пуду,https://101.ru/vardata/modules/musicdb/files/202002/09/f98e49e0ab15c09d738cacf43dc71779.mp3
Морской дьявол,https://101.ru/vardata/modules/musicdb/files/202002/09/0fa44904f80b4c0c1d96d4080a7b8d34.mp3
Мадагаскарская клювогрудая черепаха,https://101.ru/vardata/modules/musicdb/files/202002/09/31e37122f8f082aabf40fccf5a435d7f.mp3
Солнечный медведь,https://101.ru/vardata/modules/musicdb/files/202002/09/919a955a95a5f7d904a1f1007994e7bd.mp3
Геренук,https://101.ru/vardata/modules/musicdb/files/202002/09/892948141baede76cdcdeca7e990a0d4.mp3
Голубой ангел,https://101.ru/vardata/modules/musicdb/files/202002/09/f23c6bd26f21800ddebb3819ec7b8a69.mp3
Патагонская мара,https://101.ru/vardata/modules/musicdb/files/202002/09/de925774d7cca0dc8bbd856ebb52a352.mp3
Амазонская королевская мухоловка,https://101.ru/vardata/modules/musicdb/files/202002/09/81f12531aab5d404f478db7dc44e7bf4.mp3
птица Киви,https://101.ru/vardata/modules/musicdb/files/202002/09/67f83c3d1a170dd3f98d991683ba1d3f.mp3
Калан,https://101.ru/vardata/modules/musicdb/files/202002/09/29d8e8e987e1a70857ea33d104746feb.mp3
Китоглав,https://101.ru/vardata/modules/musicdb/files/202002/09/fbc0bd6c43bda032eda5097866e33fc8.mp3
Бабируcса,https://101.ru/vardata/modules/musicdb/files/202002/09/37e2566a686879dd09e4d32e6a642afe.mp3
Кинкажу,https://101.ru/vardata/modules/musicdb/files/202002/09/e15554874f8deb3797e2c8f47db90cfd.mp3
Кускус летающий,https://101.ru/vardata/modules/musicdb/files/202002/09/83c85bc3ef4d47a30e96120d8e42bb40.mp3
Краб-йети,https://101.ru/vardata/modules/musicdb/files/202002/09/fd3002f6dc0aa7ffd5f1db3444181d8c.mp3
Фенек,https://101.ru/vardata/modules/musicdb/files/202002/09/2313366dc81ad95035eef926db6cd4a7.mp3
Медоед,https://101.ru/vardata/modules/musicdb/files/202002/09/c3700feb2224079113c11262c6b42ce0.mp3
Дальневосточный леопард,https://101.ru/vardata/modules/musicdb/files/202002/09/7b2e5966b12676fe621a187cd347dc12.mp3
Гусеница-клоун,https://101.ru/vardata/modules/musicdb/files/202002/09/70573ef456c9fb47b6e8ea7bd0da5e09.mp3
Рыбный филин,https://101.ru/vardata/modules/musicdb/files/202002/09/2ac3823ec27f20ad0b36838e6fb0544b.mp3
Дивный шпательтейл,https://101.ru/vardata/modules/musicdb/files/202002/09/ed76028dde28c3d5adfc9c69e6b25bfa.mp3
Панголин,https://101.ru/vardata/modules/musicdb/files/202002/09/f5b759e7384b0a6193e9a5aa6167a9a2.mp3
Лиственный морской дракон,https://101.ru/vardata/modules/musicdb/files/202002/09/1a586c076003f6be984c0e2b639a875d.mp3
Ай-ай,https://101.ru/vardata/modules/musicdb/files/202002/09/c9515631a302dfd4c2dddf93bffa27c0.mp3
Собачка Петерса,https://101.ru/vardata/modules/musicdb/files/202002/09/67c368224c38b345278d8a1310680aeb.mp3
Лигр,https://101.ru/vardata/modules/musicdb/files/202002/09/32152ac46bba1f0384e4d6c1eeda5e6f.mp3
Иллийская пищуха,https://101.ru/vardata/modules/musicdb/files/202002/09/be8eb477c8cd3fd5f564ca282b1d3b91.mp3
Трубкозуб,https://101.ru/vardata/modules/musicdb/files/202002/09/49c71991bf096591b75022926471bfae.mp3
Розовый дельфин,https://101.ru/vardata/modules/musicdb/files/202002/09/cbe27f192e8332d0d799667b9640a794.mp3
Окапи,https://101.ru/vardata/modules/musicdb/files/202002/09/beb343554aeec6aa8eba20bc179609cf.mp3
